optionid,productid,catalogid,category_id,featurecaption,featuretype,featurerequired,sorting,url,info,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty,thumbpath,colorcode
,,,,,,,,,,6447,2 x HD-4217 Domes + 6 x HD-5217 Bullets,0,8,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6448,2 x HD-4217 Domes + 6 x HD-8217 Turrets,120,7,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6449,4 x HD-4217 Domes + 4 x HD-5217 Bullets,0,6,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6450,4 x HD-4217 Domes + 4 x HD-8217 Turrets,80,5,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6451,6 x HD-4217 Domes + 2 x HDB-5217 1080P Bullets,0,4,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6452,6 x HD-4217 Domes + 2 x HD-8217 Turrets,40,3,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6453,8 x HD-8217 1080P Turret Cameras,160,2,#NAME?,assets/images/Products/Cameras/HD-IP/TH.jpg,0,0,0,1,,
1517,HD-806,100,0,PoE Switch,Radio,1,3,,,6464,2 x 4-Port PoE Switch (100Mbps),0,0,,,0,0,0,1,,
,,,,,,,,,,6465,2 x 4-Port PoE Switch (1Gbps),100,1,#NAME?,,0,0,0,1,,
1515,HD-806,100,0,Recording,DropImage,1,1,,,6454,AVM Software (8-IP Licenses),0,0,,assets/images/Products/AVM/Video_DVD_250x250.jpg,1,0,0,1,,
,,,,,,,,,,6455,MicroNVR (1TB),1199,1,#NAME?,assets/images/Products/PCs/MicroNVR.jpg,0,0,0,1,,
,,,,,,,,,,6456,MicroNVR (2TB),1299,2,#NAME?,assets/images/Products/PCs/MicroNVR.jpg,0,0,0,1,,
,,,,,,,,,,6457,MicroNVR (4TB),1399,3,#NAME?,assets/images/Products/PCs/micronvr_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6458,Rack Mount PlatinumNVR (16TB),2399,6,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6459,Rack Mount PlatinumNVR (24TB),2799,7,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6460,Rack Mount PlatinumNVR (4TB),1799,4,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6461,Rack Mount PlatinumNVR (8TB),1999,5,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
1500,HD-1206,101,0,Cable Lengths,Radio,1,2,,,6355,No Cable,0,0,,,1,0,0,1,,
,,,,,,,,,,6356,1000' Box CAT-5 Cable w/RJ-45 Connectors,85,1,0,,0,0,0,1,,
1498,HD-1206,101,0,Cameras,DropImage,1,0,,,6334,12 x HD-5217 HD 1080P Bullet Cameras,0,0,#NAME?,assets/images/Products/Cameras/HD-IP/BH.jpg,1,0,0,1,,
